model,run_id,image_id,dimension,sample_idx,status,rating,prompt_hash,attempts,finish_reason,latency_ms,input_tokens,output_tokens,cost_usd,error,claimed_at,completed_at,raw_response,reasoning
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,11,done,6,794c01cec5ed5a71,1,stop,1420,635,39,0.0001465,,2026-04-26 18:25:26.342769,2026-04-26 18:25:27.764703,"```json
{""rating"": 6, ""reasoning"": ""The image of a predator feeding on raw carrion is visceral and stimulating, evoking a strong physiological response.""}
```","The image of a predator feeding on raw carrion is visceral and stimulating, evoking a strong physiological response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,12,done,6,7bf73d10045b9cd5,1,stop,4288,635,43,8.017e-05,,2026-04-26 18:25:45.987589,2026-04-26 18:25:50.277477,"```json
{""rating"": 6, ""reasoning"": ""The image depicts a predator feeding on a carcass, which is a stimulating and visceral scene that evokes a high level of arousal.""}
```","The image depicts a predator feeding on a carcass, which is a stimulating and visceral scene that evokes a high level of arousal."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,13,done,6,0109a7f146761a98,1,stop,4052,636,41,7.954e-05,,2026-04-26 18:26:05.872568,2026-04-26 18:26:09.926133,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard feeding on a raw carcass is visceral and stimulating, evoking a high level of intensity.""}
```","The image of a monitor lizard feeding on a raw carcass is visceral and stimulating, evoking a high level of intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,14,done,6,17a4302092c2e080,1,stop,1847,514,40,8.796e-05,,2026-04-26 18:26:26.277637,2026-04-26 18:26:28.125453,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard consuming a raw carcass is visceral and stimulating, evoking a high level of intensity.""}
```","The image of a monitor lizard consuming a raw carcass is visceral and stimulating, evoking a high level of intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,15,done,6,984be8a39523dfb1,1,stop,2307,515,39,8.77e-05,,2026-04-26 18:26:47.970487,2026-04-26 18:26:50.279888,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard eating raw carrion is visceral and stimulating, evoking a high intensity reaction.""}
```","The image of a monitor lizard eating raw carrion is visceral and stimulating, evoking a high intensity reaction."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,16,done,6,bdf169ed51737986,1,stop,4521,634,40,7.89e-05,,2026-04-26 18:27:07.944681,2026-04-26 18:27:12.467481,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard eating a carcass is visceral and stimulating, evoking a moderately high level of arousal.""}
```","The image of a monitor lizard eating a carcass is visceral and stimulating, evoking a moderately high level of arousal."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,17,done,6,b3de2f94e1809b2e,1,stop,10531,515,38,8.73e-05,,2026-04-26 18:27:28.567902,2026-04-26 18:27:39.099936,"```json
{""rating"": 6, ""reasoning"": ""The image of a predator consuming a raw carcass is visceral and stimulating, evoking a strong physiological response.""}
```","The image of a predator consuming a raw carcass is visceral and stimulating, evoking a strong physiological response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,18,done,6,70decd5a04a28ae1,1,stop,5790,632,38,7.788e-05,,2026-04-26 18:27:51.453961,2026-04-26 18:27:57.245385,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard eating a raw carcass is visceral and stimulating, evoking a strong reaction.""}
```","The image of a monitor lizard eating a raw carcass is visceral and stimulating, evoking a strong reaction."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,19,done,6,28ad85a0ebcf3f2a,1,stop,1835,513,38,8.702e-05,,2026-04-26 18:28:15.282745,2026-04-26 18:28:17.119416,"```json
{""rating"": 6, ""reasoning"": ""The sight of a predator feeding on raw carcass creates a strong, visceral reaction of intensity and shock.""}
```","The sight of a predator feeding on raw carcass creates a strong, visceral reaction of intensity and shock."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,0,done,2,e4f50ef7bd6a3de5,1,stop,5085,434,41,7.716e-05,,2026-04-26 18:20:15.390740,2026-04-26 18:20:20.478899,"```json
{""rating"": 2, ""reasoning"": ""The image of a monitor lizard feeding on a raw, bloody carcass is visceral and generally perceived as unpleasant or repulsive.""}
```","The image of a monitor lizard feeding on a raw, bloody carcass is visceral and generally perceived as unpleasant or repulsive."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,1,done,2,272552beb415d662,1,stop,4208,435,39,7.65e-05,,2026-04-26 18:20:41.892393,2026-04-26 18:20:46.102230,"```json
{""rating"": 2, ""reasoning"": ""The image shows a monitor lizard feeding on a raw carcass, which is generally perceived as gruesome and unpleasant.""}
```","The image shows a monitor lizard feeding on a raw carcass, which is generally perceived as gruesome and unpleasant."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,2,done,2,9035f1c957e9b642,1,stop,1993,432,40,7.648e-05,,2026-04-26 18:21:07.160475,2026-04-26 18:21:09.155251,"```json
{""rating"": 2, ""reasoning"": ""The image shows a lizard feeding on raw, bloody animal remains, which is generally perceived as visceral and unpleasant.""}
```","The image shows a lizard feeding on raw, bloody animal remains, which is generally perceived as visceral and unpleasant."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,3,done,2,003c124a4f03b50d,1,stop,3440,554,38,7.708e-05,,2026-04-26 18:21:36.107562,2026-04-26 18:21:39.548789,"```json
{""rating"": 2, ""reasoning"": ""The image shows a monitor lizard eating a raw, bloody carcass, which evokes a negative visceral reaction.""}
```","The image shows a monitor lizard eating a raw, bloody carcass, which evokes a negative visceral reaction."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,4,done,2,9950fe574dac8a14,1,stop,10764,556,39,7.254e-05,,2026-04-26 18:22:04.318833,2026-04-26 18:22:15.084664,"```json
{""rating"": 2, ""reasoning"": ""The image shows a monitor lizard eating raw, bloody carrion, which evokes feelings of disgust and negativity.""}
```","The image shows a monitor lizard eating raw, bloody carrion, which evokes feelings of disgust and negativity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,5,done,2,3bceb2547c607b93,1,stop,5575,554,38,7.19e-05,,2026-04-26 18:22:31.270666,2026-04-26 18:22:36.847334,"```json
{""rating"": 2, ""reasoning"": ""The image shows a reptile eating a raw, bloody carcass, which evokes a strong negative visceral response.""}
```","The image shows a reptile eating a raw, bloody carcass, which evokes a strong negative visceral response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,6,done,2,90550dd6f996a131,1,stop,10411,556,38,7.216e-05,,2026-04-26 18:23:03.386091,2026-04-26 18:23:13.798894,"```json
{""rating"": 2, ""reasoning"": ""The image of a reptile scavenging a carcass is visceral and typically evokes a negative or unsettling emotional response.""}
```",The image of a reptile scavenging a carcass is visceral and typically evokes a negative or unsettling emotional response.
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,7,done,2,0d56138b0dc90b70,1,stop,2328,555,38,7.722e-05,,2026-04-26 18:23:32.709399,2026-04-26 18:23:35.042080,"```json
{""rating"": 2, ""reasoning"": ""The image depicts a reptile eating a bloody carcass, which evokes a negative reaction due to the gore.""}
```","The image depicts a reptile eating a bloody carcass, which evokes a negative reaction due to the gore."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,8,done,2,cce6dfddf63accf7,1,stop,5350,557,36,0.0001294,,2026-04-26 18:24:09.258054,2026-04-26 18:24:14.609192,"```json
{""rating"": 2, ""reasoning"": ""The image of a monitor lizard eating a raw, bloody carcass is visceral and potentially repulsive.""}
```","The image of a monitor lizard eating a raw, bloody carcass is visceral and potentially repulsive."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,9,done,2,fdd6186a93d2ccba,1,stop,3837,554,37,7.152e-05,,2026-04-26 18:24:45.775673,2026-04-26 18:24:49.614538,"```json
{""rating"": 2, ""reasoning"": ""The image of a reptile eating raw, bloody carrion is generally perceived as visceral and unpleasant.""}
```","The image of a reptile eating raw, bloody carrion is generally perceived as visceral and unpleasant."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,10,done,2,94aebadb9e3dae0d,1,stop,6923,554,41,7.828e-05,,2026-04-26 18:25:03.873314,2026-04-26 18:25:10.797897,"```json
{""rating"": 2, ""reasoning"": ""The image shows a lizard eating raw, bloody carrion, which typically evokes a negative affective response due to gore.""}
```","The image shows a lizard eating raw, bloody carrion, which typically evokes a negative affective response due to gore."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,11,done,2,0654f4ba71ec92f2,1,stop,1968,433,41,7.702e-05,,2026-04-26 18:25:26.495742,2026-04-26 18:25:28.465363,"```json
{""rating"": 2, ""reasoning"": ""The image depicts a scavenger eating raw carrion, which evokes a negative response due to themes of death and decay.""}
```","The image depicts a scavenger eating raw carrion, which evokes a negative response due to themes of death and decay."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,12,done,2,427ee0b01072cc24,1,stop,6243,556,37,7.178e-05,,2026-04-26 18:25:46.100214,2026-04-26 18:25:52.344824,"```json
{""rating"": 2, ""reasoning"": ""The image of a lizard eating a decaying carcass is visceral and likely to evoke a negative response.""}
```",The image of a lizard eating a decaying carcass is visceral and likely to evoke a negative response.
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,13,done,2,34b60e184b1b1974,1,stop,4292,555,36,7.642e-05,,2026-04-26 18:26:05.951877,2026-04-26 18:26:10.245843,"```json
{""rating"": 2, ""reasoning"": ""The image depicts a scavenger eating a raw carcass, which typically evokes negative feelings of disgust.""}
```","The image depicts a scavenger eating a raw carcass, which typically evokes negative feelings of disgust."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,14,done,2,226eaa136e2c28d2,1,stop,9201,554,37,5.28e-05,,2026-04-26 18:26:27.039439,2026-04-26 18:26:36.242335,"```json
{""rating"": 2, ""reasoning"": ""The image shows a reptile eating a raw, bloody carcass, which evokes a negative visceral response.""}
```","The image shows a reptile eating a raw, bloody carcass, which evokes a negative visceral response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,15,done,2,f4f13f89369fd3a0,1,stop,3103,433,41,7.702e-05,,2026-04-26 18:26:48.237139,2026-04-26 18:26:51.341416,"```json
{""rating"": 2, ""reasoning"": ""The image shows a lizard eating raw, bloody carrion, which evokes a negative affective response due to the gore.""}
```","The image shows a lizard eating raw, bloody carrion, which evokes a negative affective response due to the gore."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,16,done,2,c0f39840f01e4a24,1,stop,4231,556,37,5.306e-05,,2026-04-26 18:27:08.118856,2026-04-26 18:27:12.351254,"```json
{""rating"": 2, ""reasoning"": ""The image shows a lizard consuming a raw, bloody carcass, which evokes a negative visceral response.""}
```","The image shows a lizard consuming a raw, bloody carcass, which evokes a negative visceral response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,17,done,2,d2713ac077f98d25,1,stop,3344,554,35,7.076e-05,,2026-04-26 18:27:29.248411,2026-04-26 18:27:32.594630,"```json
{""rating"": 2, ""reasoning"": ""The image of a reptile scavenging a bloody carcass is visceral and typically evokes negative affect.""}
```",The image of a reptile scavenging a bloody carcass is visceral and typically evokes negative affect.
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,18,done,2,5665fc7ab625cd80,1,stop,4282,556,46,7.52e-05,,2026-04-26 18:27:51.749060,2026-04-26 18:27:56.032669,"```json
{""rating"": 2, ""reasoning"": ""The image depicts a monitor lizard eating a raw, bloody carcass, which evokes a strong negative affective response due to the visceral nature of death.""}
```","The image depicts a monitor lizard eating a raw, bloody carcass, which evokes a strong negative affective response due to the visceral nature of death."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,valence,19,done,2,b6d3931708cc46a4,1,stop,3221,556,37,7.178e-05,,2026-04-26 18:28:15.360810,2026-04-26 18:28:18.582930,"```json
{""rating"": 2, ""reasoning"": ""The image shows a reptile feeding on raw, decaying carrion, which evokes feelings of disgust.""}
```","The image shows a reptile feeding on raw, decaying carrion, which evokes feelings of disgust."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,0,done,1,18cd8cd36dede75c,1,stop,11000,512,38,8.688e-05,,2026-04-26 18:20:15.397386,2026-04-26 18:20:26.401084,"```json
{""rating"": 1, ""reasoning"": ""The image of neutral, static tree bark is visually unremarkable and evokes a sense of stillness and calm.""}
```","The image of neutral, static tree bark is visually unremarkable and evokes a sense of stillness and calm."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,1,done,1,7ff4ffa57820fcab,1,stop,13409,635,38,9.491e-05,,2026-04-26 18:20:41.954022,2026-04-26 18:20:55.365079,"```json
{""rating"": 1, ""reasoning"": ""The neutral texture of tree bark is visually static and evokes a very low level of intensity or excitement.""}
```",The neutral texture of tree bark is visually static and evokes a very low level of intensity or excitement.
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,2,done,1,982453aa90bb47a8,1,stop,4371,635,37,8.354e-05,,2026-04-26 18:21:07.428019,2026-04-26 18:21:11.801175,"```json
{""rating"": 1, ""reasoning"": ""The neutral, static texture of tree bark is visually calming and lacks any stimulating or exciting elements.""}
```","The neutral, static texture of tree bark is visually calming and lacks any stimulating or exciting elements."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,3,done,1,ab06900afafb3916,1,stop,4613,515,41,8.85e-05,,2026-04-26 18:21:36.619433,2026-04-26 18:21:41.236646,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, natural texture of tree bark, which is visually neutral and evokes a sense of calmness.""}
```","The image shows a static, natural texture of tree bark, which is visually neutral and evokes a sense of calmness."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,4,done,1,bebe7c28e09fc2fb,1,stop,4797,632,37,8.312e-05,,2026-04-26 18:22:04.472890,2026-04-26 18:22:09.271607,"```json
{""rating"": 1, ""reasoning"": ""The neutral, repetitive texture of tree bark is static and evokes a sense of stillness and calm.""}
```","The neutral, repetitive texture of tree bark is static and evokes a sense of stillness and calm."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,5,done,1,1899970618fe358d,1,stop,1927,515,39,8.77e-05,,2026-04-26 18:22:31.276838,2026-04-26 18:22:33.205698,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, neutral texture of tree bark, which is inherently calm and non-stimulating.""}
```","The image shows a static, neutral texture of tree bark, which is inherently calm and non-stimulating."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,6,done,1,5ebe14308d875d18,1,stop,10377,636,40,7.916e-05,,2026-04-26 18:23:03.628235,2026-04-26 18:23:14.007178,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, neutral texture of tree bark, which is visually calm and lacks any stimulating elements.""}
```","The image shows a static, neutral texture of tree bark, which is visually calm and lacks any stimulating elements."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,7,done,1,8c5aa9ef1b03df70,1,stop,3400,634,36,8.3e-05,,2026-04-26 18:23:32.828006,2026-04-26 18:23:36.234986,"```json
{""rating"": 1, ""reasoning"": ""The static, neutral texture of tree bark is calming and lacks any stimulating or exciting elements.""}
```","The static, neutral texture of tree bark is calming and lacks any stimulating or exciting elements."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,8,done,2,89adbe9ca4e5c574,1,stop,5357,636,41,7.954e-05,,2026-04-26 18:24:09.828799,2026-04-26 18:24:15.187464,"```json
{""rating"": 2, ""reasoning"": ""The image shows a static, natural texture of tree bark, which is visually muted and evokes a sense of calm.""}
```","The image shows a static, natural texture of tree bark, which is visually muted and evokes a sense of calm."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,9,done,2,b348c01d8e7e0c64,1,stop,6061,634,42,7.966e-05,,2026-04-26 18:24:46.413445,2026-04-26 18:24:52.475573,"```json
{""rating"": 2, ""reasoning"": ""The image shows a neutral, static texture of tree bark, which is visually calm and lacks any stimulating or exciting elements.""}
```","The image shows a neutral, static texture of tree bark, which is visually calm and lacks any stimulating or exciting elements."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,10,done,1,0bebf23a990b9b52,1,stop,3685,514,36,8.636e-05,,2026-04-26 18:25:04.282445,2026-04-26 18:25:07.969575,"```json
{""rating"": 1, ""reasoning"": ""The neutral, static texture of tree bark is calm and evokes very little excitement or intensity.""}
```","The neutral, static texture of tree bark is calm and evokes very little excitement or intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,11,done,1,2f6f58c08e3fe945,1,stop,2007,515,42,8.89e-05,,2026-04-26 18:25:26.719397,2026-04-26 18:25:28.727529,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, neutral texture of tree bark, which is visually calm and lacks any stimulating or exciting elements.""}
```","The image shows a static, neutral texture of tree bark, which is visually calm and lacks any stimulating or exciting elements."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,12,done,1,ccd2665a2a4c1832,1,stop,10916,635,42,7.979e-05,,2026-04-26 18:25:46.436597,2026-04-26 18:25:57.354048,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, neutral texture of tree bark, which is visually calming and lacks any stimulating or exciting elements.""}
```","The image shows a static, neutral texture of tree bark, which is visually calming and lacks any stimulating or exciting elements."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,13,done,1,934713965db52c3e,1,stop,3814,634,39,8.42e-05,,2026-04-26 18:26:06.088188,2026-04-26 18:26:09.903580,"```json
{""rating"": 1, ""reasoning"": ""The static, natural texture of tree bark is neutral and calming, evoking very little physiological or emotional excitement.""}
```","The static, natural texture of tree bark is neutral and calming, evoking very little physiological or emotional excitement."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,14,done,1,cad1a94faa66c0a9,1,stop,2568,635,39,8.434e-05,,2026-04-26 18:26:27.049997,2026-04-26 18:26:29.619086,"```json
{""rating"": 1, ""reasoning"": ""The static, neutral texture of tree bark is visually stable and evokes a state of calmness and low stimulation.""}
```","The static, neutral texture of tree bark is visually stable and evokes a state of calmness and low stimulation."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,15,done,1,f14d4519571905e1,1,stop,1704,515,39,8.77e-05,,2026-04-26 18:26:48.341908,2026-04-26 18:26:50.046860,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, neutral texture of tree bark, which is inherently calm and non-stimulating.""}
```","The image shows a static, neutral texture of tree bark, which is inherently calm and non-stimulating."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,16,done,1,f131db4801e7a708,1,stop,12374,514,38,8.716e-05,,2026-04-26 18:27:08.149177,2026-04-26 18:27:20.525577,"```json
{""rating"": 1, ""reasoning"": ""The neutral, repetitive texture of tree bark is static and evokes a sense of calmness and low stimulation.""}
```","The neutral, repetitive texture of tree bark is static and evokes a sense of calmness and low stimulation."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,17,done,1,a0a81cb283cd5100,1,stop,4789,634,42,8.54e-05,,2026-04-26 18:27:29.442976,2026-04-26 18:27:34.233872,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, natural texture of tree bark, which is visually calming and evokes very little excitement or intensity.""}
```","The image shows a static, natural texture of tree bark, which is visually calming and evokes very little excitement or intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,18,done,1,a4a4e43260dd2c4a,1,stop,2415,636,43,8.608e-05,,2026-04-26 18:27:53.126913,2026-04-26 18:27:55.543360,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, natural texture of tree bark, which is visually neutral and evokes a sense of stillness and calm.""}
```","The image shows a static, natural texture of tree bark, which is visually neutral and evokes a sense of stillness and calm."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,arousal,19,done,1,5fdf1290af2b5727,1,stop,3087,636,37,7.802e-05,,2026-04-26 18:28:15.528526,2026-04-26 18:28:18.617129,"```json
{""rating"": 1, ""reasoning"": ""The image shows a static, natural texture of tree bark, which is visually neutral and calming.""}
```","The image shows a static, natural texture of tree bark, which is visually neutral and calming."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,valence,0,done,4,a32d0811cad15dda,1,stop,4407,555,38,9.29e-05,,2026-04-26 18:20:15.405152,2026-04-26 18:20:19.814256,"```json
{""rating"": 4, ""reasoning"": ""The image shows a neutral, natural texture of tree bark with no inherently positive or negative emotional triggers.""}
```","The image shows a neutral, natural texture of tree bark with no inherently positive or negative emotional triggers."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,valence,1,done,4,32b75bbcffa96082,1,stop,3513,433,40,7.662e-05,,2026-04-26 18:20:43.115767,2026-04-26 18:20:46.629882,"```json
{""rating"": 4, ""reasoning"": ""The image depicts natural tree bark, which is visually neutral and typically does not evoke strong positive or negative emotions.""}
```","The image depicts natural tree bark, which is visually neutral and typically does not evoke strong positive or negative emotions."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,valence,2,done,4,26aad3fe8330be4b,1,stop,10921,555,38,8.659e-05,,2026-04-26 18:21:07.453390,2026-04-26 18:21:18.375708,"```json
{""rating"": 4, ""reasoning"": ""The image shows a natural, neutral texture of tree bark with no strong positive or negative emotional cues.""}
```","The image shows a natural, neutral texture of tree bark with no strong positive or negative emotional cues."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Bark 5,valence,3,done,4,ab5f1d8ffb68a788,1,stop,4169,556,38,7.736e-05,,2026-04-26 18:21:37.691426,2026-04-26 18:21:41.862814,"```json
{""rating"": 4, ""reasoning"": ""The image shows a neutral, natural texture of tree bark without any strong positive or negative emotional cues.""}
```","The image shows a neutral, natural texture of tree bark without any strong positive or negative emotional cues."
